Date,Open,High,Low,Close,Volume
2012-01-03,325.25,332.83,324.97,663.59,7380500
2012-01-04,331.27,333.87,329.08,666.45,5749400
2012-01-05,329.83,330.75,326.89,657.21,6590300
2012-01-06,328.34,328.77,323.68,648.24,5405900
2012-01-09,322.04,322.29,309.46,620.76,11688800
2012-01-10,313.7,315.72,307.3,621.43,8824000
2012-01-11,310.59,313.52,309.4,624.25,4817800
2012-01-12,314.43,315.26,312.08,627.92,3764400
2012-01-13,311.96,312.3,309.37,623.28,4631800
2012-01-17,314.81,314.81,311.67,626.86,3832800
2012-01-18,312.14,315.82,309.9,631.18,5544000
2012-01-19,319.3,319.3,314.55,637.82,12657800
2012-01-20,294.16,294.4,289.76,584.39,21231800
2012-01-23,291.91,293.23,290.49,583.92,6851300
2012-01-24,292.07,292.74,287.92,579.34,6134400
2012-01-25,287.68,288.27,282.13,567.93,10012700
2012-01-26,284.92,286.17,281.22,566.54,6476500
2012-01-27,284.32,289.08,283.6,578.39,7262000
2012-01-30,287.95,288.92,285.63,576.11,4678400
2012-01-31,290.41,290.91,286.5,578.52,4300700
2012-02-01,291.38,291.66,288.49,579.24,4658700
2012-02-02,291.34,292.11,289.95,583.51,4847400
2012-02-03,294.23,297.42,292.93,594.7,6360700
2012-02-06,296.39,304.27,295.9,607.42,7386700
2012-02-07,302.44,303.56,300.75,605.11,4199700
2012-02-08,303.18,304.53,301.24,608.18,3686400
2012-02-09,304.87,306.1,303.36,609.79,4546300
2012-02-10,302.81,302.93,300.87,604.25,4667700
2012-02-13,304.11,305.77,303.87,610.52,3646100
2012-02-14,304.63,304.86,301.25,608.09,3620900
2012-02-15,305.32,305.32,300.15,603.9,4869900
2012-02-16,300.28,303.27,297.75,604.86,5080700
2012-02-17,301.36,302.68,300.08,602.98,4916400
2012-02-21,300.81,307.79,300.31,612.32,4980100
2012-02-22,304.84,307.24,302.22,606.28,3948700
2012-02-23,302.37,302.83,299.05,604.45,4125300
2012-02-24,302.54,304.68,301.62,608.23,3885600
2012-02-27,302.16,305.04,301.4,607.64,3641300
2012-02-28,303.86,308.73,302.71,616.7,5716400
2012-02-29,308.14,311.63,306.6,616.56,6297200
2012-03-01,309.97,311.68,307.92,620.7,4492000
2012-03-02,309.84,310.83,309,619.55,3158300
2012-03-05,309.06,310.08,304.55,612.57,3198400
2012-03-06,302.89,303.27,295.81,603.3,6372500
2012-03-07,303.39,304.45,301.8,605.14,2538400
2012-03-08,303.88,304.61,302.04,605.48,2700900
2012-03-09,302.84,304.81,298.88,598.61,5361100
2012-03-12,298.88,302.37,298.51,603.49,3350400
2012-03-13,303.24,307.77,301.64,616.09,4508300
2012-03-14,306.35,310.23,305.58,614.3,5895700
2012-03-15,307.15,310.59,306.27,619.43,4888300
2012-03-16,309.29,311.79,308.87,623.33,6123800
2012-03-19,310.4,317.45,309.46,632.24,4361800
2012-03-20,314.28,316.84,312.46,631.76,3092400
2012-03-21,316.12,322.49,315.07,638.23,4957600
2012-03-22,318.06,323.19,314.32,644.28,4838400
2012-03-23,322.09,323.04,319.25,640.83,3894800
2012-03-26,321.3,323.53,318.58,647.55,3651900
2012-03-27,322.31,325.53,321.2,645.25,4029400
2012-03-28,324.8,328.07,324.32,653.96,5096700
2012-03-29,325.5,327.07,320.95,646.63,3862900
2012-03-30,324.66,325.52,319.3,639.48,4638700
2012-04-02,319.19,322.54,316.23,645.15,4585400
2012-04-03,321.5,322.77,318.13,640.86,4105000
2012-04-04,318.03,318.31,314.37,633.41,3267300
2012-04-05,314.94,317.03,313.11,630.59,4654700
